YearBuilt,BuildingArea,Car,Postcode,Rooms,Price,Regionname,Suburb,Type,zipcode,airbnb_record_count,airbnb_daily_price_mean,airbnb_weekly_price_mean,airbnb_monthly_price_mean,airbnb_daily_price_median,airbnb_weekly_price_median,airbnb_monthly_price_median
,,1.0,3067.0,2,1480000.0,Northern Metropolitan,Abbotsford,h,3067.0,157.0,140.29299363057325,236.25,956.3636363636364,101.0,180.0,700.0
,,1.0,3067.0,2,1480000.0,Northern Metropolitan,Abbotsford,h,3067.0,101.0,115.5940594059406,735.3529411764706,2863.9,96.0,570.0,2000.0
1900.0,79.0,0.0,3067.0,2,1035000.0,Northern Metropolitan,Abbotsford,h,3067.0,157.0,140.29299363057325,236.25,956.3636363636364,101.0,180.0,700.0
1900.0,79.0,0.0,3067.0,2,1035000.0,Northern Metropolitan,Abbotsford,h,3067.0,101.0,115.5940594059406,735.3529411764706,2863.9,96.0,570.0,2000.0
1900.0,150.0,0.0,3067.0,3,1465000.0,Northern Metropolitan,Abbotsford,h,3067.0,157.0,140.29299363057325,236.25,956.3636363636364,101.0,180.0,700.0
1900.0,150.0,0.0,3067.0,3,1465000.0,Northern Metropolitan,Abbotsford,h,3067.0,101.0,115.5940594059406,735.3529411764706,2863.9,96.0,570.0,2000.0
,,1.0,3067.0,3,850000.0,Northern Metropolitan,Abbotsford,h,3067.0,157.0,140.29299363057325,236.25,956.3636363636364,101.0,180.0,700.0
,,1.0,3067.0,3,850000.0,Northern Metropolitan,Abbotsford,h,3067.0,101.0,115.5940594059406,735.3529411764706,2863.9,96.0,570.0,2000.0
2014.0,142.0,2.0,3067.0,4,1600000.0,Northern Metropolitan,Abbotsford,h,3067.0,157.0,140.29299363057325,236.25,956.3636363636364,101.0,180.0,700.0
2014.0,142.0,2.0,3067.0,4,1600000.0,Northern Metropolitan,Abbotsford,h,3067.0,101.0,115.5940594059406,735.3529411764706,2863.9,96.0,570.0,2000.0
,,0.0,3067.0,2,941000.0,Northern Metropolitan,Abbotsford,h,3067.0,157.0,140.29299363057325,236.25,956.3636363636364,101.0,180.0,700.0
,,0.0,3067.0,2,941000.0,Northern Metropolitan,Abbotsford,h,3067.0,101.0,115.5940594059406,735.3529411764706,2863.9,96.0,570.0,2000.0
1910.0,210.0,0.0,3067.0,3,1876000.0,Northern Metropolitan,Abbotsford,h,3067.0,157.0,140.29299363057325,236.25,956.3636363636364,101.0,180.0,700.0
